gene-symbol	gene-id	Max	Min	Mean	Median
AQP2	634	100.0%	100.0%	100.0%	100.0%
BRCA1	1100	100.0%	99.9%	100.0%	100.0%
AVP	894	100.0%	97.2%	99.7%	100.0%
AVPR2	897	100.0%	99.6%	100.0%	100.0%
BRCA2	1101	100.0%	98.3%	99.6%	99.5%
